Column A,Column B,P-Value,Word Count
1,19,0.040644293,18
1,22,0.044736168,19
1,23,0.037700662,15
1,25,0.040504447,20
1,93,0.039559112,24
1,106,0.036031686,7
1,141,0.032858824,19
1,142,0.049118106,19
1,145,0.041653495,18
1,151,0.048531488,28
1,182,0.033505257,7
1,227,0.049778433,11
1,228,0.039115747,18
1,230,0.038123727,19
1,233,0.042660909,19
1,241,0.04914994,17
1,244,0.035522337,7
1,263,0.036031686,7
1,265,0.049886029,30
1,267,0.032493961,19
1,268,0.032493961,19
1,279,0.046567761,10
2,256,0.035014981,7
4,259,0.035522337,7
5,40,0.035522337,6
5,80,0.036031686,8
5,106,0.034287968,7
5,131,0.035014981,9
5,149,0.049684336,14
5,151,0.035522337,7
5,213,0.033966233,7
5,217,0.034610558,8
5,259,0.034287968,9
6,98,0.040684909,7
6,149,0.049599471,14
6,210,0.035014981,7
6,236,0.03125,6
6,240,0.035522337,7
6,279,0.049596445,13
7,118,0.04771488,5
8,151,0.040160301,23
8,156,0.037559387,13
8,227,0.041491087,11
8,236,0.036031686,7
8,279,0.029572204,9
9,13,0.049778433,11
9,16,0.049724493,19
9,18,0.049724493,19
9,26,0.049724493,19
9,40,0.048828125,10
9,45,0.037265778,12
9,67,0.035522337,7
9,68,0.038464608,20
9,98,0.049669536,8
9,106,0.034287968,7
9,107,0.035522337,6
9,122,0.038368455,22
9,132,0.049109539,10
9,149,0.037412507,12
9,151,0.034584126,18
9,156,0.034287968,9
9,161,0.035522337,7
9,178,0.030671605,17
9,183,0.034006403,7
9,185,0.046560599,17
9,186,0.046560599,17
9,187,0.03304167,18
9,190,0.045126949,15
9,199,0.032969381,10
9,211,0.032969381,10
9,213,0.042062733,8
9,214,0.032815859,10
9,234,0.045209851,12
9,240,0.036031686,8
9,246,0.046567761,10
9,247,0.046567761,10
9,253,0.032356555,10
9,259,0.046567761,10
9,265,0.04982695,7
10,106,0.033505257,7
10,115,0.039618573,41
10,122,0.045604036,23
10,149,0.043644911,17
10,151,0.048101188,19
10,154,0.047799426,26
10,156,0.034565703,9
10,183,0.049311731,21
10,189,0.036335929,20
10,190,0.035635354,15
10,199,0.028903366,11
10,207,0.044914498,12
10,215,0.049310692,26
10,243,0.04823218,46
11,19,0.040160301,26
11,151,0.042311717,24
11,156,0.038943762,13
11,199,0.031976819,11
11,228,0.039792948,19
11,253,0.035635354,14
11,255,0.049601852,10
12,14,0.044746587,28
12,19,0.036398013,23
12,132,0.049184075,35
12,142,0.042922018,23
12,196,0.034793205,28
12,197,0.034793205,28
12,228,0.048782314,26
12,241,0.036158444,26
12,275,0.046280559,26
13,9,0.049778433,11
13,19,0.046040402,31
13,106,0.035193326,16
13,149,0.037500793,24
13,151,0.043620168,20
13,156,0.042062733,12
13,161,0.045666505,16
13,165,0.038340138,47
13,240,0.04215345,7
14,12,0.044746587,28
14,16,0.046693494,16
14,17,0.039183327,13
14,18,0.046693494,16
14,21,0.036031686,7
14,26,0.046693494,16
14,33,0.036031686,7
14,34,0.04534035,13
14,38,0.046574131,18
14,45,0.035522337,7
14,52,0.046295042,18
14,55,0.041233083,13
14,73,0.043972481,20
14,74,0.037265778,12
14,76,0.043972481,20
14,80,0.041810543,9
14,87,0.047838153,24
14,98,0.048828125,10
14,102,0.035014981,7
14,103,0.035014981,7
14,106,0.04056125,11
14,113,0.047508215,20
14,115,0.029348472,18
14,122,0.047166081,15
14,146,0.049245173,13
14,147,0.037485928,12
14,149,0.037339124,13
14,151,0.039063498,15
14,156,0.040831206,10
14,161,0.041810543,8
14,170,0.04534035,12
14,171,0.043825584,9
14,174,0.044133834,15
14,178,0.032595538,12
14,184,0.046567761,12
14,185,0.032595538,12
14,186,0.032595538,12
14,187,0.046926179,20
14,188,0.046875,7
14,190,0.043517581,15
14,199,0.04135891,10
14,201,0.036031686,7
14,202,0.046284806,18
14,207,0.041034685,18
14,213,0.032312911,13
14,215,0.029172147,8
14,221,0.038525415,13
14,234,0.042315275,13
14,259,0.042252107,13
15,34,0.046448763,70
15,36,0.046155145,78
15,38,0.036577109,49
15,41,0.040873629,44
15,64,0.037926562,76
15,68,0.036045276,20
15,73,0.042706264,79
15,76,0.041472306,95
15,98,0.042611677,19
15,107,0.041973376,94
15,115,0.044612409,43
15,147,0.044273374,91
15,149,0.044448365,17
15,150,0.041637519,79
15,151,0.040728851,23
15,154,0.047257701,79
15,156,0.043718709,87
15,171,0.047909847,75
15,176,0.036546341,38
15,207,0.036234161,20
15,222,0.049389588,77
15,240,0.041785168,7
15,253,0.035635354,15
15,259,0.041502285,30
16,9,0.049724493,19
16,14,0.046693494,16
16,19,0.044291039,15
16,22,0.049118106,19
16,23,0.036109542,23
16,24,0.046217573,20
16,27,0.044002733,23
16,29,0.045992558,16
16,49,0.03752598,22
16,62,0.034555044,22
16,63,0.04205394,27
16,119,0.035238516,15
16,141,0.049949976,14
16,145,0.046394498,16
16,165,0.047479091,26
16,196,0.037169744,27
16,197,0.037169744,27
16,226,0.049060542,22
16,227,0.044961241,12
16,228,0.045864144,19
16,232,0.039922087,23
16,241,0.035526421,16
16,263,0.040766169,15
16,267,0.040644293,16
16,268,0.040644293,16
16,279,0.040831206,11
17,14,0.039183327,13
17,19,0.046260831,33
17,23,0.037972298,15
17,24,0.028983054,11
17,25,0.036424759,19
17,27,0.028983054,11
17,28,0.028983054,11
17,29,0.032815859,11
17,31,0.044878436,15
17,34,0.04328587,74
17,38,0.048336063,51
17,64,0.040143324,71
17,76,0.04999513,77
17,119,0.0390625,8
17,128,0.044668447,72
17,130,0.043825584,11
17,136,0.04215345,8
17,140,0.044385014,72
17,141,0.047824791,19
17,145,0.028314055,13
17,147,0.049486381,58
17,151,0.049345215,24
17,156,0.04610077,95
17,165,0.045925806,38
17,171,0.047057242,77
17,181,0.045044079,13
17,196,0.034610558,9
17,197,0.034610558,9
17,227,0.036578478,11
17,228,0.028211367,11
17,230,0.041596242,18
17,233,0.046266017,15
17,262,0.032935466,19
17,263,0.041094856,10
17,265,0.042315275,13
17,269,0.04926997,19
17,270,0.041981322,10
17,279,0.0390625,9
18,9,0.049724493,19
18,14,0.046693494,16
18,19,0.044291039,15
18,22,0.049118106,19
18,23,0.036109542,23
18,24,0.046217573,20
18,27,0.044002733,23
18,29,0.045992558,16
18,49,0.03752598,22
18,62,0.034555044,22
18,63,0.04205394,27
18,119,0.035238516,15
18,141,0.049949976,14
18,145,0.046394498,16
18,165,0.047479091,26
18,196,0.037169744,27
18,197,0.037169744,27
18,226,0.049060542,22
18,227,0.044961241,12
18,228,0.045864144,19
18,232,0.039922087,23
18,241,0.035526421,16
18,263,0.040766169,15
18,267,0.040644293,16
18,268,0.040644293,16
18,279,0.040831206,11
19,1,0.040644293,18
19,11,0.040160301,26
19,12,0.036398013,23
19,13,0.046040402,31
19,16,0.044291039,15
19,17,0.046260831,33
19,18,0.044291039,15
19,20,0.044796171,34
19,21,0.043371279,27
19,26,0.044291039,15
19,30,0.045679538,22
19,33,0.036932144,25
19,34,0.041152337,42
19,35,0.044019476,67
19,36,0.049119233,66
19,37,0.035655762,25
19,38,0.039945091,23
19,41,0.038309844,23
19,43,0.041956795,31
19,48,0.041393027,24
19,52,0.049900099,22
19,53,0.042203758,30
19,54,0.042166578,27
19,55,0.032794014,15
19,57,0.04156166,34
19,59,0.040636005,23
19,61,0.043580856,30
19,64,0.035999122,26
19,70,0.047694698,27
19,71,0.040606949,26
19,73,0.041334159,24
19,74,0.047838153,24
19,76,0.038977278,23
19,77,0.047436294,23
19,79,0.043261408,27
19,80,0.045292786,14
19,85,0.044794332,30
19,86,0.047627424,33
19,87,0.034739639,24
19,91,0.038773136,30
19,95,0.047288286,27
19,96,0.03103252,7
19,98,0.042710154,18
19,106,0.035014981,7
19,107,0.048679288,29
19,109,0.047236841,41
19,111,0.043475155,15
19,113,0.043662647,21
