source,target,Word Count
19,1,18
19,11,26
19,12,23
19,13,31
19,16,15
19,17,33
19,18,15
19,20,34
19,21,27
19,26,15
19,30,22
19,33,25
19,34,42
19,35,67
19,36,66
19,37,25
19,38,23
19,41,23
19,43,31
19,48,24
19,52,22
19,53,30
19,54,27
19,55,15
19,57,34
19,59,23
19,61,30
19,64,26
19,70,27
19,71,26
19,73,24
19,74,24
19,76,23
19,77,23
19,79,27
19,80,14
19,85,30
19,86,33
19,87,24
19,91,30
19,95,27
19,96,7
19,98,18
19,106,7
19,107,29
19,109,41
19,111,15
19,113,21
19,115,24
19,117,64
19,118,30
19,119,31
19,121,22
19,122,21
19,123,58
19,124,32
19,128,63
19,130,32
19,140,42
19,146,34
19,147,34
19,149,14
19,150,26
19,151,17
19,153,26
19,154,22
19,155,58
19,156,9
19,157,27
19,160,25
19,161,15
19,162,13
19,164,13
19,166,7
19,170,20
19,171,24
19,174,24
19,176,32
19,178,26
19,183,15
19,184,25
19,187,15
19,188,23
19,189,15
19,190,12
19,191,26
19,194,63
19,199,11
19,200,22
19,201,27
19,202,24
19,207,13
19,208,27
19,211,10
19,214,10
19,215,21
19,222,24
19,223,39
19,224,31
19,237,27
19,239,9
19,242,26
19,243,40
19,245,25
19,246,26
19,247,25
19,250,32
19,253,15
19,255,17
19,257,20
19,258,14
19,259,22
19,273,66
19,278,27
106,1,7
106,5,7
106,9,7
106,10,7
106,13,16
106,14,11
106,19,7
106,20,7
106,22,6
106,23,6
106,24,11
106,25,16
106,27,11
106,28,11
106,29,7
106,39,7
106,42,7
106,43,11
106,44,6
106,49,11
106,50,11
106,51,7
106,52,11
106,53,6
106,62,8
106,63,16
106,64,9
106,65,6
106,66,7
106,79,16
106,84,6
106,85,6
106,86,7
106,89,7
106,93,6
106,111,7
106,115,10
106,117,7
106,118,7
106,119,7
106,124,7
106,125,11
106,127,11
106,129,7
106,130,7
106,132,7
106,133,6
106,135,6
106,137,6
106,138,11
106,139,11
106,141,7
106,142,6
106,143,7
106,144,9
106,145,7
106,148,7
106,151,46
106,160,6
106,163,6
106,164,7
106,165,14
106,167,7
106,176,7
106,177,6
106,181,6
106,182,7
106,184,6
106,190,6
106,191,7
106,193,6
106,195,6
106,196,6
106,197,6
106,198,11
106,202,12
106,208,7
106,209,7
106,215,16
106,220,15
106,221,7
106,222,8
106,226,6
106,227,7
106,228,6
106,229,7
106,230,6
106,231,7
106,232,7
106,233,6
106,236,15
106,237,6
106,238,6
106,241,9
106,242,7
106,244,6
106,245,7
106,248,7
106,249,7
106,251,7
106,252,7
106,254,6
106,256,6
106,260,7
106,262,11
106,263,6
106,264,13
106,265,10
106,267,6
106,268,6
106,269,6
106,271,6
106,272,6
106,273,6
106,274,12
106,275,6
106,276,6
106,277,12
106,279,7
151,1,28
151,5,7
151,8,23
151,9,18
151,10,19
151,11,24
151,13,20
151,14,15
151,15,23
151,17,24
151,19,17
151,20,17
151,21,24
151,22,16
151,23,15
151,24,18
151,25,7
151,27,18
151,28,19
151,29,17
151,30,34
151,31,19
151,35,25
151,36,33
151,40,25
151,42,19
151,43,24
151,44,7
151,49,19
151,50,20
151,51,7
151,52,56
151,53,7
151,54,21
151,55,24
151,56,25
151,57,20
151,59,24
151,61,46
151,62,11
151,63,17
151,64,24
151,65,7
151,66,7
151,69,22
151,70,22
151,71,36
151,72,23
151,77,35
151,78,19
151,79,21
151,80,23
151,81,17
151,82,22
151,83,20
151,84,20
151,85,23
151,86,21
151,89,21
151,90,22
151,92,17
151,93,20
151,95,20
151,97,24
151,98,35
151,99,21
151,101,58
151,102,25
151,103,39
151,105,24
151,108,35
151,109,17
151,110,35
151,112,35
