Column A,Column Name,Section,Section No,SectionName,VariableType
1,X_STATE   ,Core Section,0,RecordIdentification,Nonlinear
2,FMONTH    ,Core Section,0,RecordIdentification,Nonlinear
3,IDATE     ,Core Section,0,RecordIdentification,Nonlinear
4,IMONTH    ,Core Section,0,RecordIdentification,Nonlinear
5,IDAY      ,Core Section,0,RecordIdentification,Nonlinear
6,IYEAR     ,Core Section,0,RecordIdentification,Nonlinear
7,DISPCODE  ,Core Section,0,RecordIdentification,Nonlinear
8,SEQNO     ,Core Section,0,RecordIdentification,Nonlinear
9,X_PSU     ,Core Section,0,RecordIdentification,Nonlinear
10,CTELENM1  ,Core Section,0,LandLineIntroduction,Nonlinear
11,PVTRESD1  ,Core Section,0,LandLineIntroduction,Nonlinear
12,COLGHOUS  ,Core Section,0,LandLineIntroduction,Nonlinear
13,STATERE1  ,Core Section,0,LandLineIntroduction,Nonlinear
14,CELPHONE  ,Core Section,0,LandLineIntroduction,Nonlinear
15,LADULT1   ,Core Section,0,LandLineIntroduction,Nonlinear
16,COLGSEX   ,Core Section,0,LandLineIntroduction,Nonlinear
17,NUMADULT ,Core Section,0,LandLineIntroduction,Linear
18,LANDSEX   ,Core Section,0,LandLineIntroduction,Nonlinear
19,NUMMEN    ,Core Section,0,LandLineIntroduction,Linear
20,NUMWOMEN  ,Core Section,0,LandLineIntroduction,Linear
21,RESPSLCT  ,Core Section,0,LandLineIntroduction,Nonlinear
22,SAFETIME  ,Core Section,0,CellPhoneIntroduction,Nonlinear
23,CTELNUM1  ,Core Section,0,CellPhoneIntroduction,Nonlinear
24,CELLFON5  ,Core Section,0,CellPhoneIntroduction,Nonlinear
25,CADULT1   ,Core Section,0,CellPhoneIntroduction,Nonlinear
26,CELLSEX   ,Core Section,0,CellPhoneIntroduction,Nonlinear
27,PVTRESD3  ,Core Section,0,CellPhoneIntroduction,Nonlinear
28,CCLGHOUS  ,Core Section,0,CellPhoneIntroduction,Nonlinear
29,CSTATE1   ,Core Section,0,CellPhoneIntroduction,Nonlinear
30,LANDLINE  ,Core Section,0,CellPhoneIntroduction,Nonlinear
31,HHADULT   ,Core Section,0,CellPhoneIntroduction,Linear
32,SEXVAR    ,Core Section,0,RespondentSex,Nonlinear
33,GENHLTH   ,Core Section,1,HealthStatus,Nonlinear
34,PHYSHLTH ,Core Section,2,HealthyDays,Linear
35,MENTHLTH  ,Core Section,2,HealthyDays,Linear
36,POORHLTH  ,Core Section,2,HealthyDays,Linear
37,HLTHPLN1  ,Core Section,3,HealthCareAccess,Nonlinear
38,PERSDOC2  ,Core Section,3,HealthCareAccess,Nonlinear
39,MEDCOST   ,Core Section,3,HealthCareAccess,Nonlinear
40,CHECKUP1  ,Core Section,3,HealthCareAccess,Nonlinear
41,EXERANY2  ,Core Section,4,Exercise,Nonlinear
42,SLEPTIM1  ,Core Section,5,InadequateSleep,Linear
43,CVDINFR4  ,Core Section,6,ChronicHealthConditions,Nonlinear
44,CVDCRHD4  ,Core Section,6,ChronicHealthConditions,Nonlinear
45,CVDSTRK3  ,Core Section,6,ChronicHealthConditions,Nonlinear
46,ASTHMA3   ,Core Section,6,ChronicHealthConditions,Nonlinear
47,ASTHNOW   ,Core Section,6,ChronicHealthConditions,Nonlinear
48,CHCSCNCR  ,Core Section,6,ChronicHealthConditions,Nonlinear
49,CHCOCNCR  ,Core Section,6,ChronicHealthConditions,Nonlinear
50,CHCCOPD2  ,Core Section,6,ChronicHealthConditions,Nonlinear
51,HAVARTH4 ,Core Section,6,ChronicHealthConditions,Nonlinear
52,ADDEPEV3  ,Core Section,6,ChronicHealthConditions,Nonlinear
53,CHCKDNY2  ,Core Section,6,ChronicHealthConditions,Nonlinear
54,DIABETE4  ,Core Section,6,ChronicHealthConditions,Nonlinear
55,DIABAGE3  ,Core Section,6,ChronicHealthConditions,Linear
56,LASTDEN4  ,Core Section,7,OralHealth,Nonlinear
57,RMVTETH4  ,Core Section,7,OralHealth,Nonlinear
58,MARITAL   ,Core Section,8,Demographics,Nonlinear
59,EDUCA     ,Core Section,8,Demographics,Nonlinear
60,RENTHOM1  ,Core Section,8,Demographics,Nonlinear
61,NUMHHOL3  ,Core Section,8,Demographics,Nonlinear
62,NUMPHON3  ,Core Section,8,Demographics,Nonlinear
63,CPDEMO1B  ,Core Section,8,Demographics,Nonlinear
64,VETERAN3  ,Core Section,8,Demographics,Nonlinear
65,EMPLOY1   ,Core Section,8,Demographics,Nonlinear
66,CHILDREN  ,Core Section,8,Demographics,Linear
67,INCOME2   ,Core Section,8,Demographics,Nonlinear
68,PREGNANT ,Core Section,8,Demographics,Nonlinear
69,WEIGHT2   ,Core Section,8,Demographics,Linear
70,HEIGHT3   ,Core Section,8,Demographics,Linear
71,DEAF      ,Core Section,9,Disability,Nonlinear
72,BLIND     ,Core Section,9,Disability,Nonlinear
73,DECIDE    ,Core Section,9,Disability,Nonlinear
74,DIFFWALK  ,Core Section,9,Disability,Nonlinear
75,DIFFDRES  ,Core Section,9,Disability,Nonlinear
76,DIFFALON  ,Core Section,9,Disability,Nonlinear
